;DATE;T_Q_Moyenne;Anomalies;Month;Day
463;2011-04-09 00:00:00;14,91869259;1;4;9
464;2011-04-10 00:00:00;13,7669735;1;4;10
465;2011-04-11 00:00:00;13,29982853;1;4;11
466;2011-04-12 00:00:00;9,502112389;1;4;12
467;2011-04-13 00:00:00;7,800474644;1;4;13
468;2011-04-14 00:00:00;8,814526558;1;4;14
469;2011-04-15 00:00:00;8,800151825;1;4;15
470;2011-04-16 00:00:00;9,201869965;1;4;16
471;2011-04-17 00:00:00;10,58377552;1;4;17
472;2011-04-18 00:00:00;12,62195683;1;4;18
473;2011-04-19 00:00:00;13,69853497;1;4;19
474;2011-04-20 00:00:00;14,16391087;1;4;20
475;2011-04-21 00:00:00;14,62521172;1;4;21
476;2011-04-22 00:00:00;14,60727882;1;4;22
477;2011-04-23 00:00:00;13,88530159;1;4;23
478;2011-04-24 00:00:00;14,05870438;1;4;24
479;2011-04-25 00:00:00;14,4029932;1;4;25
480;2011-04-26 00:00:00;13,85119247;1;4;26
481;2011-04-27 00:00:00;12,16809559;1;4;27
482;2011-04-28 00:00:00;10,51319218;1;4;28
483;2011-04-29 00:00:00;11,23910236;1;4;29
484;2011-04-30 00:00:00;13,07305908;1;4;30
485;2011-05-01 00:00:00;14,08052921;1;5;1
486;2011-05-02 00:00:00;13,93365383;1;5;2
487;2011-05-03 00:00:00;11,69078064;1;5;3
488;2011-05-04 00:00:00;11,66872215;1;5;4
489;2011-05-05 00:00:00;13,30097103;1;5;5
490;2011-05-06 00:00:00;15,93177223;1;5;6
491;2011-05-07 00:00:00;17,04630089;1;5;7
492;2011-05-08 00:00:00;17,03632164;1;5;8
493;2011-05-09 00:00:00;16,90646935;1;5;9
494;2011-05-10 00:00:00;16,91117096;1;5;10
495;2011-05-11 00:00:00;16,58410835;1;5;11
496;2011-05-12 00:00:00;14,38018608;1;5;12
497;2011-05-13 00:00:00;14,54037666;1;5;13
498;2011-05-14 00:00:00;12,12263489;1;5;14
499;2011-05-15 00:00:00;10,53381538;1;5;15
500;2011-05-16 00:00:00;12,28707981;1;5;16
501;2011-05-17 00:00:00;14,71546745;1;5;17
502;2011-05-18 00:00:00;16,22735596;1;5;18
503;2011-05-19 00:00:00;16,0213604;1;5;19
504;2011-05-20 00:00:00;15,97567749;1;5;20
505;2011-05-21 00:00:00;16,93036842;1;5;21
506;2011-05-22 00:00:00;15,95981598;1;5;22
507;2011-05-23 00:00:00;17,12452507;1;5;23
508;2011-05-24 00:00:00;15,93286514;1;5;24
509;2011-05-25 00:00:00;17,45048523;1;5;25
510;2011-05-26 00:00:00;15,7299633;1;5;26
